                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.0540  20.8356  0.59809E+04  0.65378E+04  0.92636E-01  0.64101E+04  0.65378E+04  0.92636E-01  0.64101E+04
    5.0140   2.0540  21.7087  0.48861E+04  0.52865E+04  0.35908E-01  0.51890E+04  0.52865E+04  0.35908E-01  0.51890E+04
    5.0140   2.0540  22.5496  0.40149E+04  0.43026E+04  0.14035E-01  0.42272E+04  0.43026E+04  0.14035E-01  0.42272E+04
    5.0140   2.0540  23.3617  0.33133E+04  0.35191E+04  0.55108E-02  0.34601E+04  0.35191E+04  0.55108E-02  0.34601E+04
    5.0140   2.0540  24.1480  0.27425E+04  0.28889E+04  0.21667E-02  0.28420E+04  0.28889E+04  0.21667E-02  0.28420E+04
    5.0140   2.0540  24.9110  0.22749E+04  0.23779E+04  0.85074E-03  0.23404E+04  0.23779E+04  0.85074E-03  0.23404E+04
    5.0140   2.0540  25.6526  0.18899E+04  0.19614E+04  0.33293E-03  0.19311E+04  0.19614E+04  0.33293E-03  0.19311E+04
    5.0140   2.0540  26.3748  0.15720E+04  0.16206E+04  0.12959E-03  0.15960E+04  0.16206E+04  0.12959E-03  0.15960E+04
    5.0140   2.0540  27.0791  0.13089E+04  0.13408E+04  0.50091E-04  0.13208E+04  0.13408E+04  0.50091E-04  0.13208E+04
    5.0140   2.0540  27.7669  0.10909E+04  0.11108E+04  0.19203E-04  0.10943E+04  0.11108E+04  0.19203E-04  0.10943E+04
    5.0140   2.0540  28.4393  0.90995E+03  0.92126E+03  0.72936E-05  0.90753E+03  0.92126E+03  0.72936E-05  0.90753E+03
    5.0140   2.0540  29.0975  0.75940E+03  0.76463E+03  0.27415E-05  0.75306E+03  0.76463E+03  0.27415E-05  0.75306E+03
    5.0140   2.0540  29.7423  0.63400E+03  0.63499E+03  0.10191E-05  0.62513E+03  0.63499E+03  0.10191E-05  0.62513E+03
