                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.0140  28.2396  0.95756E+01  0.98731E+01  0.43583E-03  0.96795E+01  0.98731E+01  0.43583E-03  0.96795E+01
    5.0140   2.0140  28.9240  0.81623E+01  0.83528E+01  0.30552E-03  0.81946E+01  0.83528E+01  0.30552E-03  0.81946E+01
    5.0140   2.0140  29.5939  0.68771E+01  0.70063E+01  0.21577E-03  0.68763E+01  0.70063E+01  0.21577E-03  0.68763E+01
    5.0140   2.0140  30.2502  0.58047E+01  0.58909E+01  0.15228E-03  0.57836E+01  0.58909E+01  0.15228E-03  0.57836E+01
    5.0140   2.0140  30.8939  0.49369E+01  0.49840E+01  0.10770E-03  0.48947E+01  0.49840E+01  0.10770E-03  0.48947E+01
    5.0140   2.0140  31.5258  0.42005E+01  0.42185E+01  0.76834E-04  0.41440E+01  0.42185E+01  0.76834E-04  0.41440E+01
    5.0140   2.0140  32.1464  0.35737E+01  0.35730E+01  0.55374E-04  0.35106E+01  0.35730E+01  0.55374E-04  0.35106E+01
    5.0140   1.8440  19.6484  0.67359E+02  0.78501E+02  0.78540E-01  0.74891E+02  0.78501E+02  0.78540E-01  0.74891E+02
    5.0140   1.8440  20.7429  0.53844E+02  0.61816E+02  0.45035E-01  0.59244E+02  0.61816E+02  0.45035E-01  0.59244E+02
    5.0140   1.8440  21.7848  0.43569E+02  0.49347E+02  0.26661E-01  0.47468E+02  0.49347E+02  0.26661E-01  0.47468E+02
    5.0140   1.8440  22.7813  0.35595E+02  0.39849E+02  0.16180E-01  0.38451E+02  0.39849E+02  0.16180E-01  0.38451E+02
    5.0140   1.8440  23.7382  0.29305E+02  0.32454E+02  0.10065E-01  0.31399E+02  0.32454E+02  0.10065E-01  0.31399E+02
